player,train_size,draw,n_shots,model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty
Stephen Curry,50,1,661,binned_EB,0.7071,0.2567,0.5399,0.4681,0.072047,-2.04,-2.71,2.61,0.009616,0.004163,0.249315
Stephen Curry,50,1,661,logistic_RBF,0.7157,0.2594,0.551,0.5418,0.090553,-3.27,-3.8,4.71,0.012544,0.003865,0.249315
Stephen Curry,50,1,661,gp_location,0.6977,0.2519,0.5289,0.5416,0.054396,-0.67,-0.8,0.52,0.005733,0.001347,0.249315
Stephen Curry,50,2,681,intercept_only,0.692,0.2494,0.5262,0.5,0.009806,-,-,-,9.6e-05,0.0,0.249315
Stephen Curry,50,2,681,binned_EB,0.708,0.257,0.5262,0.4782,0.061522,-2.31,-3.07,-0.01,0.008746,0.002213,0.249315
Stephen Curry,50,2,681,logistic_RBF,0.7228,0.2632,0.5317,0.5173,0.084718,-4.45,-5.52,1.04,0.015488,0.004602,0.249315
Stephen Curry,50,2,681,gp_location,0.6974,0.2518,0.5262,0.534,0.049059,-0.78,-0.98,-0.01,0.004756,0.002984,0.249315
Stephen Curry,50,3,655,intercept_only,0.6924,0.2496,0.5262,0.5,0.017341,-,-,-,0.000301,0.0,0.249315
Stephen Curry,50,3,655,binned_EB,0.704,0.2552,0.5289,0.4907,0.060908,-1.68,-2.23,0.52,0.008715,0.002868,0.249315
Stephen Curry,50,3,655,logistic_RBF,0.7152,0.2592,0.5317,0.5438,0.111015,-3.3,-3.86,1.04,0.016641,0.005625,0.249315
Stephen Curry,50,3,655,gp_location,0.6949,0.2505,0.5317,0.5491,0.050211,-0.37,-0.37,1.04,0.004684,0.002047,0.249315
Stephen Curry,50,4,665,intercept_only,0.692,0.2494,0.5262,0.5,0.010671,-,-,-,0.000114,0.0,0.249315
Stephen Curry,50,4,665,binned_EB,0.6996,0.253,0.5344,0.4992,0.046117,-1.09,-1.45,1.57,0.007733,0.002848,0.249315
Stephen Curry,50,4,665,logistic_RBF,0.7161,0.2607,0.5289,0.5194,0.096552,-3.48,-4.53,0.52,0.016455,0.005981,0.249315
Stephen Curry,50,4,665,gp_location,0.697,0.2518,0.5262,0.5273,0.046027,-0.72,-0.96,-0.01,0.003802,0.001793,0.249315
LeBron James,10,0,175,intercept_only,0.6846,0.2457,0.5714,0.5,0.028571,-,-,-,0.000816,0.0,0.244898
LeBron James,10,0,175,binned_EB,0.6566,0.232,0.6253,0.6364,0.046917,4.09,5.56,9.44,0.003259,0.014793,0.244898
LeBron James,10,0,175,logistic_RBF,0.7097,0.2449,0.6307,0.6326,0.114694,-3.66,0.35,10.38,0.022302,0.020694,0.244898
LeBron James,10,0,175,gp_location,0.6576,0.2322,0.628,0.6418,0.053381,3.94,5.48,9.91,0.003223,0.013689,0.244898
LeBron James,10,1,180,intercept_only,0.6844,0.2456,0.5714,0.5,0.026984,-,-,-,0.000728,0.0,0.244898
LeBron James,10,1,180,binned_EB,0.6567,0.2321,0.6146,0.6306,0.045715,4.05,5.51,7.55,0.004244,0.015931,0.244898
LeBron James,10,1,180,logistic_RBF,0.7347,0.2588,0.6038,0.6235,0.152639,-7.35,-5.39,5.67,0.029678,0.015743,0.244898
LeBron James,10,1,180,gp_location,0.6791,0.242,0.6038,0.6332,0.100967,0.78,1.47,5.67,0.015564,0.020395,0.244898
LeBron James,10,2,158,intercept_only,0.6926,0.2495,0.5714,0.5,0.067812,-,-,-,0.004598,0.0,0.244898
LeBron James,10,2,158,binned_EB,0.6512,0.2295,0.5984,0.6431,0.049877,5.97,8.0,4.72,0.004536,0.019523,0.244898
LeBron James,10,2,158,logistic_RBF,0.8719,0.2807,0.5849,0.5722,0.171528,-25.89,-12.51,2.36,0.053179,0.017639,0.244898
LeBron James,10,2,158,gp_location,0.6607,0.2336,0.6523,0.645,0.066981,4.61,6.38,14.16,0.006339,0.019624,0.244898
LeBron James,10,3,180,intercept_only,0.6896,0.2481,0.5714,0.5,0.056349,-,-,-,0.003175,0.0,0.244898
LeBron James,10,3,180,binned_EB,0.6513,0.2297,0.6253,0.656,0.056293,5.55,7.42,9.44,0.004493,0.017934,0.244898
LeBron James,10,3,180,logistic_RBF,0.738,0.2525,0.6173,0.6027,0.115165,-7.01,-1.77,8.02,0.029341,0.023133,0.244898
LeBron James,10,3,180,gp_location,0.6715,0.2382,0.6442,0.6119,0.09623,2.62,4.0,12.74,0.011088,0.018723,0.244898
LeBron James,10,4,177,intercept_only,0.683,0.2449,0.5714,0.5,0.006457,-,-,-,4.2e-05,0.0,0.244898
LeBron James,10,4,177,binned_EB,0.6573,0.2323,0.6388,0.6075,0.023952,3.76,5.14,11.8,0.002852,0.016516,0.244898
LeBron James,10,4,177,logistic_RBF,0.7885,0.2614,0.6173,0.6064,0.140996,-15.44,-6.72,8.02,0.035285,0.017827,0.244898
LeBron James,10,4,177,gp_location,0.665,0.2338,0.6631,0.6391,0.1024,2.64,4.55,16.04,0.019279,0.03101,0.244898
LeBron James,20,0,387,intercept_only,0.6838,0.2453,0.5714,0.5,0.020303,-,-,-,0.000412,0.0,0.244898
LeBron James,20,0,387,binned_EB,0.6474,0.2277,0.6496,0.6407,0.024878,5.33,7.19,13.68,0.001534,0.018406,0.244898
LeBron James,20,0,387,logistic_RBF,0.7138,0.2519,0.6119,0.5978,0.106731,-4.39,-2.7,7.08,0.018546,0.013161,0.244898
LeBron James,20,0,387,gp_location,0.6608,0.2339,0.628,0.6295,0.045131,3.36,4.66,9.91,0.004349,0.014016,0.244898
LeBron James,20,1,383,intercept_only,0.683,0.245,0.5714,0.5,0.00746,-,-,-,5.6e-05,0.0,0.244898
LeBron James,20,1,383,binned_EB,0.6497,0.2282,0.6361,0.6585,0.0442,4.87,6.84,11.33,0.002947,0.019327,0.244898
